Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,caseper_white,caseper_black,caseper_latino,caseper_asian,caseperaian,casepernhpi,casepermulti,caseperother,caseperunkn,caseperhispanic,casepernonhis,deathper_white,deathper_black,deathper_latino,deathper_asian,deathperaian,deathpernhpi,deathpermulti,deathperother,deathperunkn,deathperhispanic,deathpernonhis,deathperethunk
2020-10-11,AK,10686,3590,454,NA,467,2218,489,422,404,2642,904,5920,3862,60,24,2,NA,5,21,7,0,0,1,1,52,7,0.3359535841,0.042485495,NA,0.0437020401,0.2075612952,0.0457608085,0.0394909227,0.0378064758,0.2472393786,0.0845966685,0.5539958825,0.4,0.0333333333,NA,0.0833333333,0.35,0.1166666667,0,0,0.0166666667,0.0166666667,0.8666666667,0.1166666667
2020-10-11,AL,165342,50912,35145,NA,567,NA,NA,NA,12637,66064,7861,70101,87378,2664,1376,981,NA,7,NA,NA,NA,62,238,69,2126,468,0.3079193429,0.2125594223,NA,0.0034292557,NA,NA,NA,0.0764294614,0.3995597005,0.0475438787,0.4239757593,0.5165165165,0.3682432432,NA,0.0026276276,NA,NA,NA,0.0232732733,0.0893393393,0.0259009009,0.798048048,0.1756756757
2020-10-11,AR,92833,53843,19123,NA,1021,248,2413,706,5848,9631,15781,77051,1,1569,969,306,NA,16,2,45,7,71,153,89,1480,0,0.5799984919,0.2059935583,NA,0.0109982442,0.0026714638,0.025992912,0.0076050542,0.0629948402,0.1037454354,0.1699934291,0.8299957989,0.6175908222,0.1950286807,NA,0.0101975781,0.0012746973,0.0286806883,0.0044614404,0.0452517527,0.0975143403,0.056724028,0.943275972,0
2020-10-11,AS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-11,AZ,225575,57862,6962,69518,2430,13217,NA,NA,7500,68086,69518,87971,68086,5759,2429,180,1747,66,607,NA,NA,96,634,1747,3378,634,0.2565089216,0.0308633492,0.3081813144,0.0107724704,0.0585924859,NA,NA,0.0332483653,0.3018330932,0.3081813144,0.3899855924,0.4217746136,0.0312554263,0.3033512763,0.011460323,0.1054002431,NA,NA,0.0166695607,0.110088557,0.3033512763,0.5865601667,0.110088557
2020-10-11,CA,846579,102955,25312,363000,33038,1649,3198,6513,58729,252185,363000,231394,252185,16564,4900,1238,7911,1907,51,78,117,105,257,7911,8396,257,0.1216129859,0.0298991588,0.4287845553,0.0390253007,0.0019478395,0.0037775565,0.0076933163,0.0693721437,0.2978871434,0.4287845553,0.2733283013,0.2958222652,0.0747404009,0.4776020285,0.1151291958,0.0030789664,0.0047090075,0.0070635112,0.0063390485,0.0155155759,0.4776020285,0.5068823956,0.0155155759
2020-10-11,CO,78461,30042,3114,28999,1490,455,298,1082,588,12396,28999,37069,12393,1998,1250,125,461,62,13,6,31,9,37,461,1496,41,0.382890863,0.0396885077,0.3695976345,0.0189903264,0.0057990594,0.0037980653,0.0137902907,0.0074941691,0.1579893195,0.3695976345,0.4724512815,0.6256256256,0.0625625626,0.2307307307,0.031031031,0.0065065065,0.003003003,0.0155155155,0.0045045045,0.0185185185,0.2307307307,0.7487487487,0.0205205205
2020-10-11,CT,60038,20570,7550,11714,875,58,NA,446,712,18113,11714,30211,18113,4530,3310,668,403,49,2,NA,35,21,42,403,4085,42,0.342616343,0.1257536893,0.1951097638,0.0145741031,0.0009660548,NA,0.0074286285,0.0118591559,0.3016922616,0.1951097638,0.5031979746,0.7306843267,0.1474613687,0.0889624724,0.010816777,0.0004415011,NA,0.0077262693,0.0046357616,0.0092715232,0.0889624724,0.9017660044,0.0092715232
2020-10-11,DC,15984,3558,8019,NA,260,38,43,NA,3973,93,3994,10625,1365,637,67,475,81,8,NA,NA,NA,0,6,81,550,6,0.2225975976,0.5016891892,NA,0.0162662663,0.0023773774,0.0026901902,NA,0.2485610611,0.0058183183,0.2498748749,0.6647272272,0.1051805338,0.7456828885,0.1271585557,0.0125588697,NA,NA,NA,0,0.0094191523,0.1271585557,0.863422292,0.0094191523
2020-10-11,DE,22130,8393,5832,4916,298,NA,NA,NA,1020,1671,4916,15543,1671,654,425,167,49,1,NA,NA,NA,12,0,49,605,0,0.3792589245,0.2635336647,0.2221418888,0.0134658834,NA,NA,NA,0.0460912788,0.0755083597,0.2221418888,0.7023497515,0.6498470948,0.255351682,0.0749235474,0.001529052,NA,NA,NA,0.0183486239,0,0.0749235474,0.9250764526,0
